Start Time, 2026-04-01 00:00:00
End Time, 2026-04-30 23:59:59
Campaign ID,Campaign Name,Campaign Status,campaign_type,Campaign Budget,Budgeting Type,Ad Spend,Views,SUM(clicks),Total converted units,Total Revenue (Rs.),ROI,Click Through Rate,Conversion Rate
AKJ4KKX85TH7,Clone of CPC-Mousepad-Low Clicks-2-7-2025,LIVE,PLA,300.0,DAILY_BUDGET,1137,28151,356,8.0,4341.0,3.8179419525065965,0.012646087172746972,0.02247191011235955
3CMXO11W4IKA,CPC-Gel Mousepad-16-10-2025,LIVE,PLA,300.0,DAILY_BUDGET,1034,27707,470,28.0,8843.0,8.552224371373308,0.01696322229039593,0.059574468085106386
MBD7QLRYJNAW,Boost_Sales_BedRoomSF 27-03-2026,LIVE,PLA,500.0,DAILY_BUDGET,869,64650,863,2.0,2898.0,3.334867663981588,0.013348801237432328,0.002317497103128621
VNEU6SZCRR19,ROI-LTA-GDO-1 and 7-3-10-2025,LIVE,PLA,15000.0,TOTAL_BUDGET,685,78967,1626,17.0,6033.0,8.807299270072992,0.02059087973457267,0.010455104551045511
QINES5XF6HV5,ROI-Stylus-23-7-2025,PAUSED,PLA,125000.0,TOTAL_BUDGET,674,7794,344,20.0,5382.0,7.985163204747774,0.04413651526815499,0.05813953488372093
GXIGFD08AG8I,CPC-Charger-21-4-2026,LIVE,PLA,300.0,DAILY_BUDGET,535,20923,193,3.0,1424.0,2.661682242990654,0.009224298618744922,0.015544041450777202
X1RUD7FM9LRJ,Clone of CPC-Charger-Low Clicks-2-7-2025,ABORTED,PLA,300.0,DAILY_BUDGET,404,19327,180,0.0,0.0,0.0,0.009313395767579034,0.0
IGS82JYC5RXB,Clone of CPC-Ring Light-Fast Moving-22-11-2025,ABORTED,PLA,300.0,DAILY_BUDGET,306,11745,85,0.0,0.0,0.0,0.007237122179650915,0.0
51KXVT7BJSIC,Boost_Sales_LuggageAndAccessories 27-03-2026,ABORTED,PLA,300.0,DAILY_BUDGET,208,7951,71,0.0,0.0,0.0,0.008929694378065652,0.0
H7BL2HFTOF77,Boost_Sales_GamingHardwareGaming 27-03-2026,LIVE,PLA,300.0,DAILY_BUDGET,159,10897,261,1.0,871.0,5.477987421383648,0.023951546297146003,0.0038314176245210726
L1RT9RDQFRIH,CPC-Stylus Pencil-7-3-2026,ABORTED,PLA,300.0,DAILY_BUDGET,124,925,29,1.0,748.0,6.032258064516129,0.03135135135135135,0.034482758620689655
KQYEW7QAELS4,ROI-HDMI Cable-Fast Moving-30-8-2025,LIVE,PLA,15000.0,TOTAL_BUDGET,111,13776,163,3.0,591.0,5.324324324324325,0.011832171893147503,0.018404907975460124
OFTPNDD0OTFG,PCA-ALIENS-TRAVEL ORGANIZER,ABORTED,SELLER_PCA,300.0,DAILY_BUDGET,66.5,6984,133,0.0,0.0,0.0,0.019043528064146623,0.0
5YUMJSRZ13K7,Clone of CPC-Selfie stick-Fast Moving-6-11-2025,ABORTED,PLA,300.0,DAILY_BUDGET,60,2645,39,0.0,0.0,0.0,0.014744801512287334,0.0
X76YIM8JJAB5,CPC-Travel Adapter-Fast Moving-2-7-2025,ABORTED,PLA,300.0,DAILY_BUDGET,53,3395,36,0.0,0.0,0.0,0.010603829160530192,0.0
